rid,ts,val
1,2016-01-10 00:00:00,1.2
2,2016-01-10 00:00:30,1.278459096
3,2016-01-10 00:01:00,1.356434465
4,2016-01-10 00:01:30,1.433445364
5,2016-01-10 00:02:00,1.509016994
6,2016-01-10 00:02:30,1.582683432
7,2016-01-10 00:03:00,1.6539905
8,2016-01-10 00:03:30,1.722498565
9,2016-01-10 00:04:00,1.787785252
10,2016-01-10 00:04:30,1.849448048
11,2016-01-10 00:05:00,1.907106781
12,2016-01-10 00:05:30,1.960405966
13,2016-01-10 00:06:00,2.009016994
14,2016-01-10 00:06:30,2.052640164
15,2016-01-10 00:07:00,2.091006524
16,2016-01-10 00:07:30,2.123879533
17,2016-01-10 00:08:00,2.151056516
18,2016-01-10 00:08:30,2.17236992
19,2016-01-10 00:09:00,2.187688341
20,2016-01-10 00:09:30,2.196917334
21,2016-01-10 00:10:00,2.2
22,2016-01-10 00:10:30,2.196917334
23,2016-01-10 00:11:00,2.187688341
24,2016-01-10 00:11:30,2.17236992
25,2016-01-10 00:12:00,2.151056516
26,2016-01-10 00:12:30,2.123879533
27,2016-01-10 00:13:00,2.091006524
28,2016-01-10 00:13:30,2.052640164
29,2016-01-10 00:14:00,2.009016994
30,2016-01-10 00:14:30,1.960405966
31,2016-01-10 00:15:00,1.907106781
32,2016-01-10 00:15:30,1.849448048
33,2016-01-10 00:16:00,1.787785252
34,2016-01-10 00:16:30,1.722498565
35,2016-01-10 00:17:00,1.6539905
36,2016-01-10 00:17:30,1.582683432
37,2016-01-10 00:18:00,1.509016994
38,2016-01-10 00:18:30,1.433445364
39,2016-01-10 00:19:00,1.356434465
40,2016-01-10 00:19:30,1.278459096
41,2016-01-10 00:20:00,1.2
42,2016-01-10 00:20:30,1.121540904
43,2016-01-10 00:21:00,1.043565535
44,2016-01-10 00:21:30,0.966554636
45,2016-01-10 00:22:00,0.890983006
46,2016-01-10 00:22:30,0.817316568
47,2016-01-10 00:23:00,0.7460095
48,2016-01-10 00:23:30,0.677501435
49,2016-01-10 00:24:00,0.612214748
50,2016-01-10 00:24:30,0.550551952
51,2016-01-10 00:25:00,0.492893219
52,2016-01-10 00:25:30,0.439594034
53,2016-01-10 00:26:00,0.390983006
54,2016-01-10 00:26:30,0.347359836
55,2016-01-10 00:27:00,0.308993476
56,2016-01-10 00:27:30,0.276120467
57,2016-01-10 00:28:00,0.248943484
58,2016-01-10 00:28:30,0.22763008
59,2016-01-10 00:29:00,0.212311659
60,2016-01-10 00:29:30,0.203082666
61,2016-01-10 00:30:00,0.2
62,2016-01-10 00:30:30,0.203082666
63,2016-01-10 00:31:00,0.212311659
64,2016-01-10 00:31:30,0.22763008
65,2016-01-10 00:32:00,0.248943484
66,2016-01-10 00:32:30,0.276120467
67,2016-01-10 00:33:00,0.308993476
68,2016-01-10 00:33:30,0.347359836
69,2016-01-10 00:34:00,0.390983006
70,2016-01-10 00:34:30,0.439594034
71,2016-01-10 00:35:00,0.492893219
72,2016-01-10 00:35:30,0.550551952
73,2016-01-10 00:36:00,0.612214748
74,2016-01-10 00:36:30,0.677501435
75,2016-01-10 00:37:00,0.7460095
76,2016-01-10 00:37:30,0.817316568
77,2016-01-10 00:38:00,0.890983006
78,2016-01-10 00:38:30,0.966554636
79,2016-01-10 00:39:00,1.043565535
80,2016-01-10 00:39:30,1.121540904
81,2016-01-10 00:40:00,1.2
82,2016-01-10 00:40:30,1.278459096
83,2016-01-10 00:41:00,1.356434465
84,2016-01-10 00:41:30,1.433445364
85,2016-01-10 00:42:00,1.509016994
86,2016-01-10 00:42:30,1.582683432
87,2016-01-10 00:43:00,1.6539905
88,2016-01-10 00:43:30,1.722498565
89,2016-01-10 00:44:00,1.787785252
90,2016-01-10 00:44:30,1.849448048
91,2016-01-10 00:45:00,1.907106781
92,2016-01-10 00:45:30,1.960405966
93,2016-01-10 00:46:00,2.009016994
94,2016-01-10 00:46:30,2.052640164
95,2016-01-10 00:47:00,2.091006524
96,2016-01-10 00:47:30,2.123879533
97,2016-01-10 00:48:00,2.151056516
98,2016-01-10 00:48:30,2.17236992
99,2016-01-10 00:49:00,2.187688341
100,2016-01-10 00:49:30,2.196917334
101,2016-01-10 00:50:00,2.2
102,2016-01-10 00:50:30,2.196917334
103,2016-01-10 00:51:00,2.187688341
104,2016-01-10 00:51:30,2.17236992
105,2016-01-10 00:52:00,2.151056516
106,2016-01-10 00:52:30,2.123879533
107,2016-01-10 00:53:00,2.091006524
108,2016-01-10 00:53:30,2.052640164
109,2016-01-10 00:54:00,2.009016994
110,2016-01-10 00:54:30,1.960405966
111,2016-01-10 00:55:00,1.907106781
112,2016-01-10 00:55:30,1.849448048
113,2016-01-10 00:56:00,1.787785252
114,2016-01-10 00:56:30,1.722498565
115,2016-01-10 00:57:00,1.6539905
116,2016-01-10 00:57:30,1.582683432
117,2016-01-10 00:58:00,1.509016994
118,2016-01-10 00:58:30,1.433445364
119,2016-01-10 00:59:00,1.356434465
120,2016-01-10 00:59:30,1.278459096
121,2016-01-10 01:00:00,1.2
122,2016-01-10 01:00:30,1.121540904
123,2016-01-10 01:01:00,1.043565535
124,2016-01-10 01:01:30,0.966554636
125,2016-01-10 01:02:00,0.890983006
126,2016-01-10 01:02:30,0.817316568
